code,location,registred,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
567451,Bílina,11 953,5 242,5 184,398,13,2,330,119,675,58,40,57,4,14,310,5,123,2 109,4,25,46,3,18,4,35,761,31
567469,Bořislav,327,195,194,26,0,0,12,7,24,2,2,4,0,1,21,0,17,48,0,0,2,0,2,0,2,21,3
567477,Bystřany,1 599,926,920,89,3,0,80,25,73,13,12,11,1,4,75,1,32,340,0,6,12,1,2,2,3,131,4
567485,Bžany,709,420,418,37,0,0,18,13,57,5,4,3,2,1,45,0,24,146,1,4,3,0,0,0,2,51,2
567507,Dubí,6 268,3 099,3 082,322,3,1,190,88,299,41,34,41,4,4,245,9,104,1 168,7,18,43,0,15,8,20,405,13
567515,Duchcov,6 641,3 079,3 061,245,2,0,196,82,315,34,23,27,7,10,153,8,71,1 288,2,17,40,1,12,11,56,455,6
567523,Háj u Duchcova,911,524,519,51,1,0,17,42,49,10,2,9,0,0,22,3,12,233,1,0,2,0,2,0,3,58,2
567531,Hostomice,954,444,438,23,1,0,32,13,66,5,6,4,1,0,36,1,7,171,0,1,2,0,2,0,2,61,4
567558,Hrob,1 600,950,945,97,0,1,54,22,97,9,10,15,2,1,69,0,34,364,0,3,18,0,4,3,9,130,3
567566,Hrobčice,882,467,466,25,2,0,27,13,71,7,5,8,1,2,19,0,6,184,0,2,6,0,1,0,2,84,1
567582,Jeníkov,725,392,391,48,1,0,16,12,28,4,4,6,0,0,24,0,8,164,0,6,6,0,7,3,2,49,3
567604,Kladruby,244,131,130,18,0,0,5,3,10,2,1,3,0,1,9,0,7,51,1,0,0,0,0,1,0,18,0
567612,Kostomlaty pod Milešovkou,739,431,428,27,0,1,22,14,53,14,5,3,0,0,12,0,10,188,0,1,8,0,3,3,2,59,3
567621,Košťany,2 493,1 308,1 304,102,4,0,80,47,129,11,16,7,6,1,83,0,48,538,1,6,13,0,9,4,6,187,6
567639,Krupka,10 374,5 045,5 015,428,7,7,601,124,414,67,34,50,5,14,370,4,158,1 801,2,25,118,1,24,1,24,716,20
567647,Lahošť,520,286,285,21,0,0,15,9,32,1,3,3,0,0,16,0,8,137,0,2,0,0,0,1,1,36,0
567655,Ledvice,430,213,211,8,0,0,4,12,37,3,3,2,0,0,17,3,3,75,0,1,2,0,0,1,1,39,0
546909,Lukov,113,72,71,2,0,0,2,2,4,2,2,1,0,0,7,0,4,39,0,0,0,0,0,0,1,5,0
567698,Měrunice,260,138,138,6,0,1,6,6,11,2,2,1,0,0,10,1,3,63,0,1,10,0,1,1,2,11,0
567701,Mikulov,177,124,124,28,0,0,7,4,2,1,1,1,0,2,12,0,7,40,0,0,1,0,1,1,0,16,0
567710,Modlany,816,528,523,54,0,2,21,25,33,10,5,4,2,3,51,0,18,192,1,0,5,0,0,0,0,93,4
567728,Moldava,133,81,81,8,0,0,5,4,7,3,0,3,0,0,13,0,5,16,0,1,3,0,0,0,0,13,0
567752,Novosedlice,1 765,932,927,94,0,0,77,24,77,14,11,10,2,4,89,1,34,312,0,2,10,1,5,2,7,145,6
567761,Ohníč,598,332,330,35,2,0,24,11,54,6,5,2,0,0,26,1,12,111,0,4,3,0,2,0,1,29,2
567779,Osek,3 989,2 078,2 063,133,4,0,139,54,244,23,21,18,1,3,148,1,68,885,0,10,24,0,16,10,6,249,6
567787,Proboštov,2 136,1 339,1 328,210,0,1,45,87,88,20,6,18,1,1,111,0,63,427,1,6,70,1,7,1,6,156,2
567809,Rtyně nad Bílinou,643,395,392,22,1,1,25,17,44,4,4,10,0,1,33,0,10,136,0,0,7,0,2,0,0,70,5
567833,Srbice,306,201,201,28,0,0,8,2,18,1,0,1,0,1,14,0,11,81,0,0,2,0,0,0,0,34,0
567841,Světec,795,407,406,24,0,0,35,17,48,6,1,5,0,0,14,0,8,157,0,2,8,0,0,3,4,74,0
567442,Teplice,39 531,20 441,20 313,2 388,19,10,1 292,565,1 509,348,181,241,32,43,1 987,16,1 011,7 549,13,60,391,5,114,29,66,2 369,75
567850,Újezdeček,731,335,334,44,0,0,16,4,42,2,8,6,0,0,25,0,9,132,0,3,1,0,0,0,3,39,0
567868,Zabrušany,936,511,511,45,1,0,26,12,50,1,8,5,0,1,35,0,16,212,0,2,7,0,3,1,2,81,3
567876,Žalany,424,275,275,45,1,0,10,12,25,3,4,4,0,0,29,0,13,82,0,3,6,0,0,0,0,37,1
567884,Žim,149,102,101,6,0,0,7,1,12,1,0,2,0,0,13,0,6,37,0,2,2,0,0,0,1,11,0
